Id,Domain,Start Time,Stop Time,Difference,Total Time,Max Time
101,CANADA_4,20:16:08.35,20:17:35.54,00:01:27,00:08:13,00:02:33
102,CANADA_4,20:17:36.20,20:19:28.06,00:01:52,,
103,CANADA_4,20:19:28.54,20:21:49.39,00:02:21,,
104,CANADA_4,20:21:49.72,20:24:22.42,00:02:33,,
105,CANADA_5,20:24:24.93,20:26:10.78,00:01:46,00:20:59,00:10:23
106,CANADA_5,20:26:11.12,20:33:11.99,00:07:01,,
107,CANADA_5,20:33:12.35,20:35:01.32,00:01:49,,
108,CANADA_5,20:35:01.68,20:45:25.02,00:10:23,,
109,CANADA_6,20:45:27.80,20:49:04.35,00:03:37,00:18:49,00:08:18
110,CANADA_6,20:49:04.69,20:53:51.32,00:04:47,,
111,CANADA_6,20:53:51.65,20:55:59.40,00:02:08,,
112,CANADA_6,20:55:59.79,21:04:17.65,00:08:18,,
114,CANADA_7,21:04:20.19,21:05:57.10,00:01:37,00:13:33,00:06:44
115,CANADA_7,21:05:57.51,21:09:28.58,00:03:31,,
116,CANADA_7,21:09:28.91,21:11:09.25,00:01:40,,
117,CANADA_7,21:11:09.70,21:17:54.07,00:06:44,,
118,CANADA_8,21:17:56.85,21:19:35.44,00:01:39,00:12:31,00:05:25
119,CANADA_8,21:19:35.83,21:23:15.85,00:03:40,,
120,CANADA_8,21:23:16.37,21:25:04.37,00:01:48,,
121,CANADA_8,21:25:04.79,21:30:29.67,00:05:25,,
122,CANADA_0,21:30:34.50,21:32:18.86,00:01:44,00:10:36,00:03:46
123,CANADA_0,21:32:19.56,21:35:46.05,00:03:26,,
124,CANADA_0,21:35:46.42,21:37:25.89,00:01:39,,
125,CANADA_0,21:37:26.30,21:41:12.07,00:03:46,,
126,DENMARK_1,21:41:14.85,21:42:45.51,00:01:31,00:27:55,00:15:40
127,DENMARK_1,21:42:45.96,21:51:39.45,00:08:53,,
128,DENMARK_1,21:51:39.90,21:53:30.51,00:01:51,,
129,DENMARK_1,21:53:30.93,22:09:10.90,00:15:40,,
130,DENMARK_2,22:09:13.24,22:10:58.94,00:01:46,00:33:01,00:20:34
131,DENMARK_2,22:10:59.55,22:19:52.71,00:08:53,,
132,DENMARK_2,22:19:53.09,22:21:41.13,00:01:48,,
133,DENMARK_2,22:21:41.58,22:42:15.78,00:20:34,,
134,DENMARK_4,22:42:20.70,22:44:38.39,00:02:18,00:26:21,00:11:04
135,DENMARK_4,22:44:38.77,22:55:43.20,00:11:04,,
136,DENMARK_4,22:55:43.67,22:58:52.15,00:03:08,,
137,DENMARK_4,22:58:52.63,23:08:42.53,00:09:50,,
138,DENMARK_5,23:08:45.30,23:11:02.03,00:02:17,00:34:29,00:19:07
139,DENMARK_5,23:11:02.37,23:22:01.99,00:11:00,,
140,DENMARK_5,23:22:02.37,23:24:08.35,00:02:06,,
141,DENMARK_5,23:24:08.69,23:43:15.23,00:19:07,,
142,DENMARK_6,23:43:17.99,23:45:22.39,00:02:04,-23:27:30,00:09:18
143,DENMARK_6,23:45:22.72,23:54:40.58,00:09:18,,
144,DENMARK_6,23:54:40.92,23:56:41.66,00:02:01,,
145,DENMARK_6,23:56:42.00,00:15:49.45,-23:40:53,,
146,DENMARK_7,00:15:52.17,00:18:00.78,00:02:09,00:34:40,00:19:53
147,DENMARK_7,00:18:01.18,00:28:41.27,00:10:40,,
148,DENMARK_7,00:28:41.69,00:30:40.60,00:01:59,,
149,DENMARK_7,00:30:41.04,00:50:33.70,00:19:53,,
150,DENMARK_8,00:50:36.49,00:52:12.58,00:01:36,00:41:20,00:19:26
151,DENMARK_8,00:52:12.94,01:01:20.53,00:09:08,,
152,DENMARK_8,01:01:20.85,01:12:31.58,00:11:11,,
153,DENMARK_8,01:12:31.96,01:31:57.60,00:19:26,,
154,DENMARK_0,01:32:02.54,01:33:45.53,00:01:43,00:35:04,00:19:56
155,DENMARK_0,01:33:45.92,01:44:16.56,00:10:31,,
156,DENMARK_0,01:44:16.91,01:47:11.48,00:02:55,,
157,DENMARK_0,01:47:11.82,02:07:07.56,00:19:56,,
158,FRANCE_1,02:07:10.31,02:10:36.72,00:03:26,00:46:02,00:23:49
159,FRANCE_1,02:10:37.08,02:23:58.49,00:13:21,,
160,FRANCE_1,02:23:58.83,02:29:23.99,00:05:25,,
161,FRANCE_1,02:29:24.37,02:53:13.84,00:23:49,,
162,FRANCE_2,02:53:16.52,02:58:18.86,00:05:02,00:45:16,00:23:55
163,FRANCE_2,02:58:19.21,03:11:32.68,00:13:13,,
164,FRANCE_2,03:11:33.06,03:14:38.51,00:03:05,,
165,FRANCE_2,03:14:38.88,03:38:33.79,00:23:55,,
166,FRANCE_3,03:38:36.40,03:40:27.01,00:01:51,00:31:53,00:21:39
167,FRANCE_3,03:40:27.34,03:46:44.89,00:06:18,,
168,FRANCE_3,03:46:45.24,03:48:50.45,00:02:05,,
169,FRANCE_3,03:48:50.80,04:10:30.06,00:21:39,,
170,FRANCE_4,04:10:32.54,04:12:21.88,00:01:49,00:35:39,00:20:05
171,FRANCE_4,04:12:22.24,04:23:32.63,00:11:10,,
172,FRANCE_4,04:23:33.01,04:26:06.76,00:02:34,,
173,FRANCE_4,04:26:07.13,04:46:12.43,00:20:05,,
174,FRANCE_5,04:46:15.01,04:48:30.66,00:02:16,00:25:22,00:10:32
175,FRANCE_5,04:48:31.02,04:59:02.64,00:10:32,,
176,FRANCE_5,04:59:03.30,05:02:43.83,00:03:41,,
177,FRANCE_5,05:02:44.34,05:11:38.99,00:08:55,,
178,FRANCE_6,05:11:41.39,05:13:14.43,00:01:33,00:25:44,00:14:23
179,FRANCE_6,05:13:14.99,05:21:01.18,00:07:46,,
180,FRANCE_6,05:21:01.75,05:23:03.64,00:02:02,,
181,FRANCE_6,05:23:04.22,05:37:27.35,00:14:23,,
182,FRANCE_7,05:37:30.08,05:38:59.40,00:01:29,00:25:25,00:14:08
183,FRANCE_7,05:38:59.79,05:47:09.58,00:08:10,,
184,FRANCE_7,05:47:10.19,05:48:48.15,00:01:38,,
185,FRANCE_7,05:48:48.71,06:02:56.27,00:14:08,,
186,FRANCE_8,06:02:58.64,06:04:30.74,00:01:32,00:26:15,00:14:58
187,FRANCE_8,06:04:31.26,06:12:34.79,00:08:04,,
188,FRANCE_8,06:12:35.17,06:14:16.18,00:01:41,,
189,FRANCE_8,06:14:16.85,06:29:14.74,00:14:58,,
190,FRANCE_9,06:29:17.13,06:30:48.19,00:01:31,00:26:11,00:14:42
191,FRANCE_9,06:30:48.64,06:38:41.80,00:07:53,,
