[fit LOOCV KRR]: 0.2981498779845424, Target Domain: CANADA_0, 'AugKRR_MSE': 0.5572787593786128, 'AugKRR_selectedgamma': 0.22844596683752932, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.2989812599844299, Target Domain: DENMARK_1, 'AugKRR_MSE': 0.044932780131160116, 'AugKRR_selectedgamma': 0.20676461640491003, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.2947200500057079, Target Domain: DENMARK_2, 'AugKRR_MSE': 0.04752667395269788, 'AugKRR_selectedgamma': 0.20676461640491003, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.3820058639976196, Target Domain: DENMARK_3, 'AugKRR_MSE': 0.040273001278110475, 'AugKRR_selectedgamma': 0.20676461640491003, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.3045758100342937, Target Domain: DENMARK_4, 'AugKRR_MSE': 0.05685569562738636, 'AugKRR_selectedgamma': 0.20676461640491003, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.2966124109807424, Target Domain: DENMARK_5, 'AugKRR_MSE': 0.04489962898804169, 'AugKRR_selectedgamma': 0.20676461640491003, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.30023468600120395, Target Domain: DENMARK_6, 'AugKRR_MSE': 0.05209566537892308, 'AugKRR_selectedgamma': 0.20676461640491003, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.30108443094650283, Target Domain: DENMARK_7, 'AugKRR_MSE': 0.055034614402343376, 'AugKRR_selectedgamma': 0.20676461640491003, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.3042355799698271, Target Domain: DENMARK_8, 'AugKRR_MSE': 0.04378983665379817, 'AugKRR_selectedgamma': 0.20676461640491003, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.30069165397435427, Target Domain: DENMARK_9, 'AugKRR_MSE': 0.0397273005958615, 'AugKRR_selectedgamma': 0.20676461640491003, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.29704214801313356, Target Domain: DENMARK_0, 'AugKRR_MSE': 0.0466735904289014, 'AugKRR_selectedgamma': 0.20676461640491003, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.29868301399983466, Target Domain: FRANCE_1, 'AugKRR_MSE': 0.023782799683705575, 'AugKRR_selectedgamma': 0.2088306612081861, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2988137200009078, Target Domain: FRANCE_2, 'AugKRR_MSE': 0.0220702496835274, 'AugKRR_selectedgamma': 0.2088306612081861, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3024244629777968, Target Domain: FRANCE_3, 'AugKRR_MSE': 0.024537731637880165, 'AugKRR_selectedgamma': 0.2088306612081861, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3048176679876633, Target Domain: FRANCE_4, 'AugKRR_MSE': 0.019369206902327886, 'AugKRR_selectedgamma': 0.2088306612081861, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2981783849536441, Target Domain: FRANCE_5, 'AugKRR_MSE': 0.024560469698931733, 'AugKRR_selectedgamma': 0.2088306612081861, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.29231932800030336, Target Domain: FRANCE_6, 'AugKRR_MSE': 0.022017649943381547, 'AugKRR_selectedgamma': 0.2088306612081861, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3293149170349352, Target Domain: FRANCE_7, 'AugKRR_MSE': 0.021008369014296126, 'AugKRR_selectedgamma': 0.2088306612081861, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.29515206697396934, Target Domain: FRANCE_8, 'AugKRR_MSE': 0.022133371752907974, 'AugKRR_selectedgamma': 0.2088306612081861, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3075502920546569, Target Domain: FRANCE_9, 'AugKRR_MSE': 0.01933011480577818, 'AugKRR_selectedgamma': 0.2088306612081861, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2997399080195464, Target Domain: FRANCE_0, 'AugKRR_MSE': 0.02822914394844432, 'AugKRR_selectedgamma': 0.2088306612081861, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2998412980232388, Target Domain: GERMANY_1, 'AugKRR_MSE': 0.22377794960592914, 'AugKRR_selectedgamma': 0.20777531246001024, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.3447056509903632, Target Domain: GERMANY_2, 'AugKRR_MSE': 0.21014068896584115, 'AugKRR_selectedgamma': 0.20777531246001024, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.6041865440201946, Target Domain: GERMANY_3, 'AugKRR_MSE': 0.2202942778667352, 'AugKRR_selectedgamma': 0.20777531246001024, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.3056343529606238, Target Domain: GERMANY_4, 'AugKRR_MSE': 0.2089770955811974, 'AugKRR_selectedgamma': 0.20777531246001024, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.31101111898897216, Target Domain: GERMANY_5, 'AugKRR_MSE': 0.24272296833104187, 'AugKRR_selectedgamma': 0.20777531246001024, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.29766225104685873, Target Domain: GERMANY_6, 'AugKRR_MSE': 0.20289665552972141, 'AugKRR_selectedgamma': 0.20777531246001024, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.29707864997908473, Target Domain: GERMANY_7, 'AugKRR_MSE': 0.23747011706608448, 'AugKRR_selectedgamma': 0.20777531246001024, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.2965943070012145, Target Domain: GERMANY_8, 'AugKRR_MSE': 0.2288730797918472, 'AugKRR_selectedgamma': 0.20777531246001024, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.3040597579674795, Target Domain: GERMANY_9, 'AugKRR_MSE': 0.21032499803918625, 'AugKRR_selectedgamma': 0.20777531246001024, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.31165958096971735, Target Domain: GERMANY_0, 'AugKRR_MSE': 0.23138002924251014, 'AugKRR_selectedgamma': 0.20777531246001024, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.29603775299619883, Target Domain: GREECE_1, 'AugKRR_MSE': 0.17520141942577247, 'AugKRR_selectedgamma': 0.268210931117926, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.30795625201426446, Target Domain: GREECE_2, 'AugKRR_MSE': 0.20335853689408634, 'AugKRR_selectedgamma': 0.268210931117926, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.30485192098421976, Target Domain: GREECE_3, 'AugKRR_MSE': 0.21014240009008558, 'AugKRR_selectedgamma': 0.268210931117926, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.30676694703288376, Target Domain: GREECE_4, 'AugKRR_MSE': 0.20442528842636476, 'AugKRR_selectedgamma': 0.268210931117926, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3772357749985531, Target Domain: GREECE_5, 'AugKRR_MSE': 0.22150991078222615, 'AugKRR_selectedgamma': 0.268210931117926, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3201783759868704, Target Domain: GREECE_6, 'AugKRR_MSE': 0.15039164263195304, 'AugKRR_selectedgamma': 0.268210931117926, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.30049779097316787, Target Domain: GREECE_7, 'AugKRR_MSE': 0.24245318433322696, 'AugKRR_selectedgamma': 0.268210931117926, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.29980187700130045, Target Domain: GREECE_8, 'AugKRR_MSE': 0.18035227943264226, 'AugKRR_selectedgamma': 0.268210931117926, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.30188202700810507, Target Domain: GREECE_9, 'AugKRR_MSE': 0.3046458676611243, 'AugKRR_selectedgamma': 0.268210931117926, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3031044219969772, Target Domain: GREECE_0, 'AugKRR_MSE': 0.242927814594733, 'AugKRR_selectedgamma': 0.268210931117926, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2971827569999732, Target Domain: IRELAND_1, 'AugKRR_MSE': 0.5154772216152004, 'AugKRR_selectedgamma': 0.2203930366150024, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.29983535897918046, Target Domain: IRELAND_2, 'AugKRR_MSE': 0.64570281066268, 'AugKRR_selectedgamma': 0.2203930366150024, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.2941324039711617, Target Domain: IRELAND_3, 'AugKRR_MSE': 0.5911740483048468, 'AugKRR_selectedgamma': 0.2203930366150024, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.29230333998566493, Target Domain: IRELAND_4, 'AugKRR_MSE': 0.5614165749384962, 'AugKRR_selectedgamma': 0.2203930366150024, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.3019327680231072, Target Domain: IRELAND_5, 'AugKRR_MSE': 0.6098208242548108, 'AugKRR_selectedgamma': 0.2203930366150024, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.3040397029835731, Target Domain: IRELAND_6, 'AugKRR_MSE': 0.6122088652577499, 'AugKRR_selectedgamma': 0.2203930366150024, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.32616819499526173, Target Domain: IRELAND_7, 'AugKRR_MSE': 0.5973091907452438, 'AugKRR_selectedgamma': 0.2203930366150024, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.30166334699606523, Target Domain: IRELAND_8, 'AugKRR_MSE': 0.6132186852641142, 'AugKRR_selectedgamma': 0.2203930366150024, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.3071660909918137, Target Domain: IRELAND_9, 'AugKRR_MSE': 0.5697601404359195, 'AugKRR_selectedgamma': 0.2203930366150024, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.6042304509901442, Target Domain: IRELAND_0, 'AugKRR_MSE': 0.5811861203347584, 'AugKRR_selectedgamma': 0.2203930366150024, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.3047335449955426, Target Domain: ITALY_1, 'AugKRR_MSE': 0.18781869949642502, 'AugKRR_selectedgamma': 0.22189349908945208, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.30472515599103644, Target Domain: ITALY_2, 'AugKRR_MSE': 0.1528825138226626, 'AugKRR_selectedgamma': 0.22189349908945208, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.29410770296817645, Target Domain: ITALY_3, 'AugKRR_MSE': 0.15462061419326717, 'AugKRR_selectedgamma': 0.22189349908945208, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.2986110330093652, Target Domain: ITALY_4, 'AugKRR_MSE': 0.14684880366359224, 'AugKRR_selectedgamma': 0.22189349908945208, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.3114833409781568, Target Domain: ITALY_5, 'AugKRR_MSE': 0.12223120788882481, 'AugKRR_selectedgamma': 0.22189349908945208, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.30118163500446826, Target Domain: ITALY_6, 'AugKRR_MSE': 0.17663807092733683, 'AugKRR_selectedgamma': 0.22189349908945208, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.30989398597739637, Target Domain: ITALY_7, 'AugKRR_MSE': 0.19378127986493768, 'AugKRR_selectedgamma': 0.22189349908945208, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.2957589579746127, Target Domain: ITALY_8, 'AugKRR_MSE': 0.1278990341680646, 'AugKRR_selectedgamma': 0.22189349908945208, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.30475112597923726, Target Domain: ITALY_9, 'AugKRR_MSE': 0.12128778830415224, 'AugKRR_selectedgamma': 0.22189349908945208, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.3223906950443052, Target Domain: ITALY_0, 'AugKRR_MSE': 0.17245183552945462, 'AugKRR_selectedgamma': 0.22189349908945208, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.3061104330117814, Target Domain: JAPAN_1, 'AugKRR_MSE': 0.18557390763635345, 'AugKRR_selectedgamma': 0.23316912225534256, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2923907819786109, Target Domain: JAPAN_2, 'AugKRR_MSE': 0.1304511220493924, 'AugKRR_selectedgamma': 0.23316912225534256, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.293280302954372, Target Domain: JAPAN_3, 'AugKRR_MSE': 0.1553697249171021, 'AugKRR_selectedgamma': 0.23316912225534256, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2986088470206596, Target Domain: JAPAN_4, 'AugKRR_MSE': 0.12126825389085395, 'AugKRR_selectedgamma': 0.23316912225534256, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3050174019881524, Target Domain: JAPAN_5, 'AugKRR_MSE': 0.136825749389844, 'AugKRR_selectedgamma': 0.23316912225534256, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2993056559935212, Target Domain: JAPAN_6, 'AugKRR_MSE': 0.19232219905391573, 'AugKRR_selectedgamma': 0.23316912225534256, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3022205870365724, Target Domain: JAPAN_7, 'AugKRR_MSE': 0.12314773489864549, 'AugKRR_selectedgamma': 0.23316912225534256, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.2996172329876572, Target Domain: JAPAN_8, 'AugKRR_MSE': 0.1426210406387398, 'AugKRR_selectedgamma': 0.23316912225534256, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.31116125197149813, Target Domain: JAPAN_9, 'AugKRR_MSE': 0.1788830268273998, 'AugKRR_selectedgamma': 0.23316912225534256, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.30212062096688896, Target Domain: JAPAN_0, 'AugKRR_MSE': 0.17113344452211102, 'AugKRR_selectedgamma': 0.23316912225534256, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.30954848299734294, Target Domain: NETHERLA_1, 'AugKRR_MSE': 0.05535353720109461, 'AugKRR_selectedgamma': 0.20966208127171762, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.29973146301927045, Target Domain: NETHERLA_2, 'AugKRR_MSE': 0.04643921847368562, 'AugKRR_selectedgamma': 0.20966208127171762, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.3043633680208586, Target Domain: NETHERLA_3, 'AugKRR_MSE': 0.031508512895871185, 'AugKRR_selectedgamma': 0.20966208127171762, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.30128195002907887, Target Domain: NETHERLA_4, 'AugKRR_MSE': 0.04573770496474701, 'AugKRR_selectedgamma': 0.20966208127171762, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.30099900101777166, Target Domain: NETHERLA_5, 'AugKRR_MSE': 0.051301293360348194, 'AugKRR_selectedgamma': 0.20966208127171762, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.3139216160052456, Target Domain: NETHERLA_6, 'AugKRR_MSE': 0.0474561824137542, 'AugKRR_selectedgamma': 0.20966208127171762, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.3199828049982898, Target Domain: NETHERLA_7, 'AugKRR_MSE': 0.05247429558535212, 'AugKRR_selectedgamma': 0.20966208127171762, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.2968930740025826, Target Domain: NETHERLA_8, 'AugKRR_MSE': 0.03560409823990725, 'AugKRR_selectedgamma': 0.20966208127171762, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.3020674880244769, Target Domain: NETHERLA_9, 'AugKRR_MSE': 0.04574689140919979, 'AugKRR_selectedgamma': 0.20966208127171762, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.298080165986903, Target Domain: NETHERLA_0, 'AugKRR_MSE': 0.04209287937592984, 'AugKRR_selectedgamma': 0.20966208127171762, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.3036078700097278, Target Domain: NORWAY_1, 'AugKRR_MSE': 0.040431147056688106, 'AugKRR_selectedgamma': 0.20724521161693207, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.30967082700226456, Target Domain: NORWAY_2, 'AugKRR_MSE': 0.04458432830732718, 'AugKRR_selectedgamma': 0.20724521161693207, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.29596312501234934, Target Domain: NORWAY_3, 'AugKRR_MSE': 0.04508629950483113, 'AugKRR_selectedgamma': 0.20724521161693207, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.29761315701762214, Target Domain: NORWAY_4, 'AugKRR_MSE': 0.03612737993327761, 'AugKRR_selectedgamma': 0.20724521161693207, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.30222097400110215, Target Domain: NORWAY_5, 'AugKRR_MSE': 0.03956913362734828, 'AugKRR_selectedgamma': 0.20724521161693207, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3042999309836887, Target Domain: NORWAY_6, 'AugKRR_MSE': 0.04242668506793926, 'AugKRR_selectedgamma': 0.20724521161693207, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.32642942102393135, Target Domain: NORWAY_7, 'AugKRR_MSE': 0.0341338373734375, 'AugKRR_selectedgamma': 0.20724521161693207, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.29442829795880243, Target Domain: NORWAY_8, 'AugKRR_MSE': 0.04118088377119337, 'AugKRR_selectedgamma': 0.20724521161693207, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3055407570209354, Target Domain: NORWAY_9, 'AugKRR_MSE': 0.04573670768943336, 'AugKRR_selectedgamma': 0.20724521161693207, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.3059553090133704, Target Domain: NORWAY_0, 'AugKRR_MSE': 0.044569035699645355, 'AugKRR_selectedgamma': 0.20724521161693207, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.763731166953221, Target Domain: SPAIN_1, 'AugKRR_MSE': 0.25145943791657477, 'AugKRR_selectedgamma': 0.29210708610691527, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.3253937670378946, Target Domain: SPAIN_2, 'AugKRR_MSE': 0.2804742613473638, 'AugKRR_selectedgamma': 0.29210708610691527, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 1.1305664260289632, Target Domain: SPAIN_3, 'AugKRR_MSE': 0.28832700751014934, 'AugKRR_selectedgamma': 0.29210708610691527, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 1.1276475340127945, Target Domain: SPAIN_4, 'AugKRR_MSE': 0.3060437215619655, 'AugKRR_selectedgamma': 0.29210708610691527, 'AugKRR_selectedbest_alpha': 0.00390625}
