Target Domain,MSE,fit LOOCV,Avg MSE,STD MSE,Avg MSE,STD MSE
JAPAN_9,0.00352893772297,0.007656318019144,,,,
JAPAN_0,0.008752996934594,0.008432165021077,,,,
NETHERLA_1,0.01362754038775,0.010058432992082,0.018356448981946,0.002649861999223,,
NETHERLA_2,0.020370902201285,0.014566169003956,,,,
NETHERLA_3,0.008469844577987,0.006518345035147,,,,
NETHERLA_4,0.010101455117354,0.007282258011401,,,,
NETHERLA_5,0.028226399381721,0.006728771957569,,,,
NETHERLA_6,0.015555653889366,0.009608232998289,,,,
NETHERLA_7,0.025680022719735,0.009782771987375,,,,
NETHERLA_8,0.025931476324402,0.006097283039708,,,,
NETHERLA_9,0.020170478992664,0.006491965032183,,,,
NETHERLA_0,0.015430716227199,0.006810591963585,,,,
NORWAY_1,0.008466828470745,0.006766589998733,0.016912242880023,0.004324635043514,,
NORWAY_2,0.012609924067186,0.006557042011991,,,,
NORWAY_3,0.005141945143528,0.020628023019526,,,,
NORWAY_4,0.039273151164492,0.007626553007867,,,,
NORWAY_5,0.011099736037747,0.007569478009827,,,,
NORWAY_6,0.011677795549352,0.006103635998443,,,,
NORWAY_7,0.012845554926545,0.008368615992367,,,,
NORWAY_8,0.005850929573795,0.009027976018842,,,,
NORWAY_9,0.053504459128485,0.006353943026625,,,,
NORWAY_0,0.008652104738354,0.00699036300648,,,,
SPAIN_1,0.014709250769341,0.006545926968101,0.020544023065649,0.008923371077722,,
SPAIN_2,0.034932753715968,0.007262939994689,,,,
SPAIN_3,0.014439714034098,0.035166058980394,,,,
SPAIN_4,0.014945785883869,0.006488836021163,,,,
SPAIN_5,0.03227869723689,0.006557967979461,,,,
SPAIN_6,0.040128966248519,0.006761844037101,,,,
SPAIN_7,0.009408821650935,0.010507852013689,,,,
SPAIN_8,0.021835818517017,0.006662438041531,,,,
SPAIN_9,0.012047750960065,0.006358973972965,,,,
SPAIN_0,0.010712671639783,0.00786141603021,,,,
SWEDEN_1,0.005129016535666,0.007070674968418,0.006469039061658,0.006483237949921,,
SWEDEN_2,0.008403093869923,0.027076714031864,,,,
SWEDEN_3,0.004604339780208,0.013116100046318,,,,
SWEDEN_4,0.005132245161049,0.006592877034564,,,,
SWEDEN_5,0.005522245437269,0.006455870985519,,,,
SWEDEN_6,0.006750116782369,0.006544881965965,,,,
SWEDEN_7,0.006110846434444,0.007035447983071,,,,
SWEDEN_8,0.009641684062252,0.007372822030447,,,,
SWEDEN_9,0.007435853449438,0.006659924983978,,,,
SWEDEN_0,0.005960949103966,0.007206814014353,,,,
SWITZERL_1,0.009137292006837,0.007237142010126,0.012463144120425,0.009556125174465,,
SWITZERL_2,0.006684694660332,0.03628043102799,,,,
SWITZERL_3,0.009910559285492,0.006338541978039,,,,
SWITZERL_4,0.010216769433587,0.006568056007382,,,,
SWITZERL_5,0.009760146691932,0.007534992997535,,,,
SWITZERL_6,0.017460534817594,0.014331981015857,,,,
SWITZERL_7,0.01464613414813,0.006734877009876,,,,
SWITZERL_8,0.01278407762352,0.006818073976319,,,,
SWITZERL_9,0.022057324243139,0.006906655966304,,,,
SWITZERL_0,0.011973908293682,0.018552135035861,,,,
TURKEY_1,0.051856644434264,0.007093188003637,0.044422576423122,0.005014358664208,,
TURKEY_2,0.096781718076343,0.008155719027855,,,,
TURKEY_3,0.046119235707115,0.006704904022627,,,,
TURKEY_4,0.036398773011949,0.013888734043576,,,,
TURKEY_5,0.036016855307869,0.012669957999606,,,,
TURKEY_6,0.049154064142667,0.006993037008215,,,,
TURKEY_7,0.030574001078986,0.006365748995449,,,,
TURKEY_8,0.029915359629292,0.007527924026363,,,,
TURKEY_9,0.0243462458264,0.013199973967858,,,,
TURKEY_0,0.043062867016337,0.022036744048819,,,,
U.K._1,0.058942959330003,0.007896392024122,0.05984453398294,0.001355678501611,,
U.K._2,0.054939286749482,0.006416038959287,,,,
U.K._3,0.047644586010875,0.008533912012354,,,,
U.K._4,0.075237200756566,0.009584660991095,,,,
U.K._5,0.038837715147327,0.00793918495765,,,,
U.K._6,0.059552121713695,0.007303225982469,,,,
U.K._7,0.055827844518079,0.006593132042326,,,,
U.K._8,0.060653013413392,0.00683755998034,,,,
U.K._9,0.055983764601951,0.010632758028805,,,,
U.K._0,0.090826847588033,0.008702154038474,,,,
U.S.A._1,0.007048536818593,0.007571772963274,0.003324263703016,0.002540612911584,,
U.S.A._2,0.003529970467491,0.007485405018087,,,,
U.S.A._3,0.002165805243265,0.009648111008573,,,,
U.S.A._4,0.002458414232136,0.00716876698425,,,,
U.S.A._5,0.002417629688177,0.006824403011706,,,,
U.S.A._6,0.001475251679061,0.007360843010247,,,,
U.S.A._7,0.004770265742523,0.009453269944061,,,,
U.S.A._8,0.003709542903055,0.015190954960417,,,,
U.S.A._9,0.003259788398909,0.006667786045,,,,
U.S.A._0,0.002407431856949,0.008348446048331,,,,
