Target Domain,MSE,LOOCV KRR,Avg MSE,STD MSE,Avg MSE,STD MSE
NETHERLA_2,0.046439218473686,1.02135192102287,,,,
NETHERLA_3,0.031508512895871,1.00719649903476,,,,
NETHERLA_4,0.045737704964747,1.01756423100596,,,,
NETHERLA_5,0.051301293360348,1.26058758801082,,,,
NETHERLA_6,0.047456182413754,0.959189609973691,,,,
NETHERLA_7,0.052474295585352,1.24215078703128,,,,
NETHERLA_8,0.035604098239907,0.553514661965892,,,,
NETHERLA_9,0.0457468914092,0.943277049984317,,,,
NETHERLA_0,0.04209287937593,0.611087639001198,,,,
NORWAY_1,0.040431147056688,0.750675307004713,0.041384543803112,0.003923811444268,,
NORWAY_2,0.044584328307327,0.5743873299798,,,,
NORWAY_3,0.045086299504831,0.51008797303075,,,,
NORWAY_4,0.036127379933278,0.639888706034981,,,,
NORWAY_5,0.039569133627348,0.731105020036921,,,,
NORWAY_6,0.042426685067939,0.560006284038536,,,,
NORWAY_7,0.034133837373438,0.477740770962555,,,,
NORWAY_8,0.041180883771193,1.00834249804029,,,,
NORWAY_9,0.045736707689433,0.466479212976992,,,,
NORWAY_0,0.044569035699645,0.532923514023423,,,,
SPAIN_1,0.251459437916575,0.617643553006928,0.271482689254908,0.024344502593713,,
SPAIN_2,0.280474261347364,0.661477816989645,,,,
SPAIN_3,0.288327007510149,0.626394289021846,,,,
SPAIN_4,0.306043721561965,0.903232742974069,,,,
SPAIN_5,0.262701816572092,0.46361281897407,,,,
SPAIN_6,0.254059910442404,0.51528175896965,,,,
SPAIN_7,0.299897201958731,0.502130756969564,,,,
SPAIN_8,0.225259166880919,0.689549806003924,,,,
SPAIN_9,0.268684735678608,0.622343196999282,,,,
SPAIN_0,0.277919632680277,0.745552853972185,,,,
SWEDEN_1,1.25628549583453,0.536003015993629,1.24446607349242,0.030567317728345,,
SWEDEN_2,1.18764638686937,0.495200319972355,,,,
SWEDEN_3,1.25956113041051,0.467160501983017,,,,
SWEDEN_4,1.26435025944697,0.632032143999822,,,,
SWEDEN_5,1.23547912838952,0.699020454951096,,,,
SWEDEN_6,1.26458616592083,0.899276033975184,,,,
SWEDEN_7,1.25047818556202,0.458029745030217,,,,
SWEDEN_8,1.27541105532367,0.71621053700801,,,,
SWEDEN_9,1.19216077341464,0.448711175995413,,,,
SWEDEN_0,1.25870215375215,0.433213143027388,,,,
SWITZERL_1,0.17077019238289,0.44354991603177,0.171618326000379,0.013759170165217,,
SWITZERL_2,0.160829821488958,0.444211602036376,,,,
SWITZERL_3,0.174410660593121,0.424131768988445,,,,
SWITZERL_4,0.161437925824906,0.440603344992269,,,,
SWITZERL_5,0.190806251983505,0.415736227994785,,,,
SWITZERL_6,0.180998777235091,0.453882774047088,,,,
SWITZERL_7,0.181388031825497,0.430573456978891,,,,
SWITZERL_8,0.144688079173939,0.446893782005645,,,,
SWITZERL_9,0.184630589986483,0.448289566033054,,,,
SWITZERL_0,0.166222929509403,0.412563282006886,,,,
TURKEY_1,0.152551406136776,0.413781513983849,0.133293649707317,0.020576107466387,,
TURKEY_2,0.129394582160009,0.465932974999305,,,,
TURKEY_3,0.129892911449494,0.417257888999302,,,,
TURKEY_4,0.107203009177925,0.435713456012309,,,,
TURKEY_5,0.165680582823356,0.42103737097932,,,,
TURKEY_6,0.120021677520716,0.613123275979888,,,,
TURKEY_7,0.119881057786131,0.59448605804937,,,,
TURKEY_8,0.126774033411567,0.57464159996016,,,,
TURKEY_9,0.116552680166247,0.909092946036253,,,,
TURKEY_0,0.16498455644095,0.426328145957086,,,,
U.K._1,0.05757969002459,0.385243801982142,0.05293883928606,0.006913659318406,,
U.K._2,0.057762727618056,0.471192801021971,,,,
U.K._3,0.048727671949758,0.471338586008642,,,,
U.K._4,0.046572418491178,0.429294813016895,,,,
U.K._5,0.044783629304027,0.387046632997226,,,,
U.K._6,0.061038699105411,0.541578128002584,,,,
U.K._7,0.042877722661553,0.41563129198039,,,,
U.K._8,0.06141499062169,0.351027644996066,,,,
U.K._9,0.05130384531918,0.507718281995039,,,,
U.K._0,0.057326997765162,0.425323166011367,,,,
U.S.A._1,0.44536529688808,0.350371330976486,0.445599922195457,0.015455614435192,,
U.S.A._2,0.445195421184738,0.374536204035394,,,,
U.S.A._3,0.456915006772536,0.391317412024364,,,,
U.S.A._4,0.440885623153788,0.430985346029047,,,,
U.S.A._5,0.44145702326991,0.377583403023891,,,,
U.S.A._6,0.442601352131995,0.33722470398061,,,,
U.S.A._7,0.447245878553501,0.343190729967318,,,,
U.S.A._8,0.409427120655271,0.39121230103774,,,,
U.S.A._9,0.459946730596885,0.434042101027444,,,,
U.S.A._0,0.466959768747862,0.380766531045083,,,,
