[fit LOOCV KRR]: 0.005708013006369583, Target Domain: CANADA_9, 'AugKRR_MSE': 0.00888719574900611, 'AugKRR_selectedgamma': 5.381154243375434, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.006167116007418372, Target Domain: CANADA_0, 'AugKRR_MSE': 0.007960305691704103, 'AugKRR_selectedgamma': 0.9608406318364802, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.0059675429947674274, Target Domain: DENMARK_1, 'AugKRR_MSE': 0.005910904431840207, 'AugKRR_selectedgamma': 2.205993920251229, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005530365000595339, Target Domain: DENMARK_2, 'AugKRR_MSE': 0.009022501811553469, 'AugKRR_selectedgamma': 3.728012946056869, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005608320003375411, Target Domain: DENMARK_3, 'AugKRR_MSE': 0.00625418451494221, 'AugKRR_selectedgamma': 1.6597225757366445, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005767523005488329, Target Domain: DENMARK_4, 'AugKRR_MSE': 0.03643927993618514, 'AugKRR_selectedgamma': 6.120751785309579, 'AugKRR_selectedbest_alpha': 0.25}
[fit LOOCV KRR]: 0.005922696000197902, Target Domain: DENMARK_5, 'AugKRR_MSE': 0.004861671147387197, 'AugKRR_selectedgamma': 2.0168764224335023, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.006134721988928504, Target Domain: DENMARK_6, 'AugKRR_MSE': 0.027317453611384032, 'AugKRR_selectedgamma': 11.513589407699232, 'AugKRR_selectedbest_alpha': 1.0}
[fit LOOCV KRR]: 0.005758744999184273, Target Domain: DENMARK_7, 'AugKRR_MSE': 0.006731348770413324, 'AugKRR_selectedgamma': 5.236012152150537, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005588095998973586, Target Domain: DENMARK_8, 'AugKRR_MSE': 0.014450281967630103, 'AugKRR_selectedgamma': 2.2368551904803384, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005509879003511742, Target Domain: DENMARK_9, 'AugKRR_MSE': 0.008004602313384977, 'AugKRR_selectedgamma': 1.277293119222747, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.0057637190038803965, Target Domain: DENMARK_0, 'AugKRR_MSE': 0.008418257380293023, 'AugKRR_selectedgamma': 4.247095472055988, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.00608233199454844, Target Domain: FRANCE_1, 'AugKRR_MSE': 0.11765481548972248, 'AugKRR_selectedgamma': 1.818212938808942, 'AugKRR_selectedbest_alpha': 0.125}
[fit LOOCV KRR]: 0.007025087994406931, Target Domain: FRANCE_2, 'AugKRR_MSE': 0.08576053595943706, 'AugKRR_selectedgamma': 1.1805541376981816, 'AugKRR_selectedbest_alpha': 0.125}
[fit LOOCV KRR]: 0.005703603994334117, Target Domain: FRANCE_3, 'AugKRR_MSE': 0.049368179085185836, 'AugKRR_selectedgamma': 1.1805541376981816, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005876310999155976, Target Domain: FRANCE_4, 'AugKRR_MSE': 0.02852473158787196, 'AugKRR_selectedgamma': 2.0763447947006686, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.00573080699541606, Target Domain: FRANCE_5, 'AugKRR_MSE': 0.03496963135750807, 'AugKRR_selectedgamma': 2.5821017617314905, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005841032005264424, Target Domain: FRANCE_6, 'AugKRR_MSE': 0.08152372629086305, 'AugKRR_selectedgamma': 0.44875942038164085, 'AugKRR_selectedbest_alpha': 0.125}
[fit LOOCV KRR]: 0.005808823989355005, Target Domain: FRANCE_7, 'AugKRR_MSE': 0.0402279152616131, 'AugKRR_selectedgamma': 1.0351857436499174, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005832994997035712, Target Domain: FRANCE_8, 'AugKRR_MSE': 0.0201966660102235, 'AugKRR_selectedgamma': 3.4416146961371803, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.01063397699908819, Target Domain: FRANCE_9, 'AugKRR_MSE': 0.01775358758784803, 'AugKRR_selectedgamma': 0.9051234490262827, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005648605991154909, Target Domain: FRANCE_0, 'AugKRR_MSE': 0.03780221830952349, 'AugKRR_selectedgamma': 0.849079676665491, 'AugKRR_selectedbest_alpha': 0.0009765625}
